 0.1,0.1,  0,  16
 0.1,0.1,  1,  11
 0.1,0.1,  3,   1
 0.1,0.1,  6,   7
 0.1,0.2,  0,   9
 0.1,0.2,  1,   6
 0.1,0.2,  3,   0
 0.1,0.2,  6,   0
 0.1,0.3,  0,  13
 0.1,0.3,  1,   1
 0.1,0.3,  3,  11
 0.1,0.3,  6,  11
 0.1,0.4,  0,   0
 0.1,0.4,  1,   7
 0.1,0.4,  3,   1
 0.1,0.4,  6,   1
 0.1,0.5,  0,   0
 0.1,0.5,  1,   7
 0.1,0.5,  3,   8
 0.1,0.5,  6,  18
 0.1,0.6,  0,   7
 0.1,0.6,  1,   1
 0.1,0.6,  3,   7
 0.1,0.6,  6,   5
 0.1,0.7,  0,   1
 0.1,0.7,  1,   8
 0.1,0.7,  3,   5
 0.1,0.7,  6,   7
 0.1,0.8,  0,   1
 0.1,0.8,  1,  16
 0.1,0.8,  3,  13
 0.1,0.8,  6,   6
 0.2,0.1,  0,   8
 0.2,0.1,  1,  13
 0.2,0.1,  3,   1
 0.2,0.1,  6,   0
 0.2,0.2,  0,   5
 0.2,0.2,  1,   5
 0.2,0.2,  3,   1
 0.2,0.2,  6,   9
 0.2,0.3,  0,   8
 0.2,0.3,  1,   1
 0.2,0.3,  3,  10
 0.2,0.3,  6,   0
 0.2,0.4,  0,   6
 0.2,0.4,  1,   5
 0.2,0.4,  3,   6
 0.2,0.4,  6,   1
 0.2,0.5,  0,   1
 0.2,0.5,  1,   8
 0.2,0.5,  3,   9
 0.2,0.5,  6,   6
 0.2,0.6,  0,   6
 0.2,0.6,  1,   7
 0.2,0.6,  3,   9
 0.2,0.6,  6,   0
 0.2,0.7,  0,   5
 0.2,0.7,  1,   0
 0.2,0.7,  3,   6
 0.2,0.7,  6,   5
 0.2,0.8,  0,   0
 0.2,0.8,  1,   1
 0.2,0.8,  3,   1
 0.2,0.8,  6,   1
 0.3,0.1,  0,   8
 0.3,0.1,  1,   8
 0.3,0.1,  3,   5
 0.3,0.1,  6,   9
 0.3,0.2,  0,   1
 0.3,0.2,  1,   5
 0.3,0.2,  3,   7
 0.3,0.2,  6,   8
 0.3,0.3,  0,  11
 0.3,0.3,  1,  14
 0.3,0.3,  3,   7
 0.3,0.3,  6,  10
 0.3,0.4,  0,   0
 0.3,0.4,  1,   1
 0.3,0.4,  3,   5
 0.3,0.4,  6,   6
 0.3,0.5,  0,   5
 0.3,0.5,  1,  10
 0.3,0.5,  3,   0
 0.3,0.5,  6,   7
 0.3,0.6,  0,   8
 0.3,0.6,  1,   6
 0.3,0.6,  3,   5
 0.3,0.6,  6,  10
 0.3,0.7,  0,   7
 0.3,0.7,  1,   0
 0.3,0.7,  3,   7
 0.3,0.7,  6,   0
 0.3,0.8,  0,   1
 0.3,0.8,  1,   6
 0.3,0.8,  3,  10
 0.3,0.8,  6,   1
 0.4,0.1,  0,   6
 0.4,0.1,  1,   7
 0.4,0.1,  3,   5
 0.4,0.1,  6,   9
 0.4,0.2,  0,   1
 0.4,0.2,  1,   8
 0.4,0.2,  3,   1
 0.4,0.2,  6,   1
 0.4,0.3,  0,   0
 0.4,0.3,  1,   8
 0.4,0.3,  3,   0
 0.4,0.3,  6,   7
 0.4,0.4,  0,   5
 0.4,0.4,  1,   8
 0.4,0.4,  3,   0
 0.4,0.4,  6,   0
 0.4,0.5,  0,   0
 0.4,0.5,  1,   8
 0.4,0.5,  3,   7
 0.4,0.5,  6,   6
 0.4,0.6,  0,   0
 0.4,0.6,  1,   1
 0.4,0.6,  3,   8
 0.4,0.6,  6,   8
 0.4,0.7,  0,   0
 0.4,0.7,  1,   1
 0.4,0.7,  3,   0
 0.4,0.7,  6,   0
 0.4,0.8,  0,  17
 0.4,0.8,  1,   1
 0.4,0.8,  3,   0
 0.4,0.8,  6,   7
 0.5,0.1,  0,   7
 0.5,0.1,  1,   7
 0.5,0.1,  3,   8
 0.5,0.1,  6,   5
 0.5,0.2,  0,   7
 0.5,0.2,  1,  10
 0.5,0.2,  3,   1
 0.5,0.2,  6,   1
 0.5,0.3,  0,   0
 0.5,0.3,  1,   0
 0.5,0.3,  3,   0
 0.5,0.3,  6,   1
 0.5,0.4,  0,   0
 0.5,0.4,  1,   9
 0.5,0.4,  3,   1
 0.5,0.4,  6,  10
 0.5,0.5,  0,   5
 0.5,0.5,  1,   5
 0.5,0.5,  3,   0
 0.5,0.5,  6,   9
 0.5,0.6,  0,   7
 0.5,0.6,  1,   6
 0.5,0.6,  3,  16
 0.5,0.6,  6,   0
 0.5,0.7,  0,   6
 0.5,0.7,  1,   8
 0.5,0.7,  3,   7
 0.5,0.7,  6,   7
 0.5,0.8,  0,   8
 0.5,0.8,  1,   1
 0.5,0.8,  3,   7
 0.5,0.8,  6,   0
 0.6,0.1,  0,   0
 0.6,0.1,  1,   1
 0.6,0.1,  3,   7
 0.6,0.1,  6,   0
 0.6,0.2,  0,   0
 0.6,0.2,  1,   7
 0.6,0.2,  3,   0
 0.6,0.2,  6,   0
 0.6,0.3,  0,   6
 0.6,0.3,  1,   0
 0.6,0.3,  3,   0
 0.6,0.3,  6,   8
 0.6,0.4,  0,   0
 0.6,0.4,  1,   0
 0.6,0.4,  3,   9
 0.6,0.4,  6,   7
 0.6,0.5,  0,   8
 0.6,0.5,  1,   0
 0.6,0.5,  3,   0
 0.6,0.5,  6,   8
 0.6,0.6,  0,   1
 0.6,0.6,  1,   9
 0.6,0.6,  3,   0
 0.6,0.6,  6,   5
 0.6,0.7,  0,   5
 0.6,0.7,  1,   5
 0.6,0.7,  3,   7
 0.6,0.7,  6,   7
 0.6,0.8,  0,   7
 0.6,0.8,  1,  10
 0.6,0.8,  3,   9
 0.6,0.8,  6,   1
 0.7,0.1,  0,   7
 0.7,0.1,  1,   8
