Document,Term,TF-IDF
news0,мобилизация,0.32356539038859744
news0,нелогичный,0.09166434062623631
news0,заявить,0.054831234176486984
news0,депутат,0.06731898150728603
news0,верховный,0.07324778740136165
news0,рада,0.08089134759714936
news0,евгений,0.07324778740136165
news0,шевченко,0.09166434062623631
news0,интервью,0.06731898150728603
news0,украинский,0.1167581850158465
news0,политолог,0.09166434062623631
news0,вадим,0.09166434062623631
news0,закон,0.05837909250792325
news0,загнать,0.09166434062623631
news0,наш,0.027953534093788215
news0,этот,0.025484005145127456
news0,собака,0.09166434062623631
news0,стать,0.027953534093788215
news0,мочь,0.017998127726737652
news0,получить,0.04637008731866288
news0,обратный,0.07324778740136165
news0,предупредить,0.08089134759714936
news0,новый,0.027953534093788215
news0,законопроект,0.16178269519429872
news0,мстить,0.09166434062623631
news0,хотеть,0.04193154882652535
news0,заключить,0.09166434062623631
news0,нарушать,0.08089134759714936
news0,право,0.06247479437227469
news0,свобода,0.08089134759714936
news0,владимир,0.04890242828241137
news0,зеленский,0.18742438311682408
news0,пресс-конференция,0.08089134759714936
news0,декабрь,0.036414680951612315
news0,обратиться,0.07324778740136165
news0,генеральный,0.07324778740136165
news0,штаб,0.08089134759714936
news0,просьба,0.06731898150728603
news0,мобилизовать,0.08089134759714936
news0,тысяча,0.03996253928304858
news0,понедельник,0.09166434062623631
news0,правительство,0.06731898150728603
news0,украина,0.1854803492746515
news0,внести,0.08089134759714936
news0,парламент,0.08089134759714936
news0,предлагаться,0.09166434062623631
news0,отменить,0.09166434062623631
news0,срочный,0.09166434062623631
news0,отсрочка,0.09166434062623631
news0,инвалид,0.09166434062623631
news0,третий,0.054831234176486984
news0,обязать,0.09166434062623631
news0,военнообязанный,0.16178269519429872
news0,регистрироваться,0.09166434062623631
news0,электронный,0.09166434062623631
news0,кабинет,0.09166434062623631
news0,проходить,0.054831234176486984
news0,являться,0.05837909250792325
news0,вызов,0.09166434062623631
news0,военкомат,0.27499302187870894
news0,срок,0.08089134759714936
news0,указанный,0.06731898150728603
news0,документ,0.06731898150728603
news0,обязывать,0.09166434062623631
news0,весь,0.011413252203028083
news0,течение,0.12494958874454938
news0,день,0.1392156675221067
news0,объявление,0.09166434062623631
news0,дата,0.08089134759714936
news0,продолжение,0.08089134759714936
news0,прибыть,0.08089134759714936
news0,получение,0.09166434062623631
news0,нижний,0.07324778740136165
news0,планк,0.08089134759714936
news0,возраст,0.17513727752376973
news0,снижаться,0.09166434062623631
news0,февраль,0.07324778740136165
news0,год,0.021545986058173917
news0,режим,0.08089134759714936
news0,военный,0.08811648229480006
news0,следующий,0.05837909250792325
news0,подписать,0.08089134759714936
news0,указ,0.08089134759714936
news0,всеобщий,0.09166434062623631
news0,выезд,0.09166434062623631
news0,мужчина,0.07324778740136165
news0,период,0.054831234176486984
news0,действие,0.07324778740136165
news0,положение,0.06731898150728603
news0,октябрь,0.08089134759714936
news0,журнал,0.07324778740136165
news0,ссылка,0.08089134759714936
news0,помощник,0.09166434062623631
news0,ряд,0.06247479437227469
news0,войско,0.051701801343187734
news0,быть,0.0036081749748379396
news0,призывать,0.09166434062623631
news0,человек,0.025641687922525358
news0,средний,0.07324778740136165
news0,свой,0.014140718670502964
news0,издание,0.06731898150728603
news0,стремиться,0.09166434062623631
news0,привлечь,0.09166434062623631
news0,женщина,0.08089134759714936
news0,говорить,0.051701801343187734
news0,огромный,0.05837909250792325
news0,потеря,0.07324778740136165
news0,устроенный,0.08089134759714936
news0,оппозиция,0.08089134759714936
news0,абхазия,0.08089134759714936
news0,дача,0.09166434062623631
news0,подогреваться,0.09166434062623631
news0,сказать,0.04637008731866288
news0,риа,0.04405824114740003
news0,новость,0.04637008731866288
news0,глава,0.03996253928304858
news0,международный,0.06247479437227469
news0,комитет,0.08089134759714936
news0,совет,0.08089134759714936
news0,федерация,0.08089134759714936
news0,григорий,0.09166434062623631
news0,госдача,0.08089134759714936
news1,россия,0.08601702392766142
news1,новый,0.09631813678985995
news1,боеприпас,0.06309658720439486
news1,высокий,0.06569037296192753
news1,степень,0.16144977688897075
news1,защита,0.13936169675071086
news1,система,0.07988758055299365
news1,радиоэлектронный,0.13936169675071086
news1,сообщить,0.039943790276496825
